resume_text,label
"Experienced software engineer with expertise in Docker, Python, Java, SQL, Linux. Previously worked at Airbnb on mobile applications. Holds a degree in Ph.D. in Machine Learning from Stanford University.",SWE
"Experienced software engineer with expertise in REST APIs, CI/CD, Python, AWS, SQL. Previously worked at Amazon on real-time analytics. Holds a degree in M.Tech in Artificial Intelligence from UC Berkeley.",SWE
"Machine learning engineer skilled in Data Pipelines, AWS SageMaker, Scikit-learn, Deep Learning, Spark. Developed models for recommendation systems. Experienced in deploying ML models using Kubernetes, Docker. Graduated with a degree in B.Sc in Computer Science from Georgia Tech.",MLE
"Machine learning engineer skilled in PyTorch, Computer Vision, Docker, Deep Learning, Data Pipelines. Developed models for image recognition. Experienced in deploying ML models using MLflow, TensorFlow Serving. Graduated with a degree in M.Sc in Data Science from University of Toronto.",MLE
"Experienced software engineer with expertise in AWS, Java, Git, CI/CD, Kubernetes. Previously worked at Airbnb on microservice architecture. Holds a degree in Ph.D. in Machine Learning from Stanford University.",SWE
"Experienced software engineer with expertise in REST APIs, Git, CI/CD, AWS, Kubernetes. Previously worked at Google on mobile applications. Holds a degree in M.Tech in Artificial Intelligence from UC Berkeley.",SWE
"Machine learning engineer skilled in Scikit-learn, Spark, PyTorch, Python, Data Pipelines. Developed models for fraud detection. Experienced in deploying ML models using Docker, AWS SageMaker. Graduated with a degree in B.Sc in Computer Science from UC Berkeley.",MLE
"Machine learning engineer skilled in TensorFlow, Computer Vision, Scikit-learn, Spark, Docker. Developed models for natural language processing. Experienced in deploying ML models using TensorFlow Serving, Kubernetes. Graduated with a degree in B.Tech in Information Technology from Carnegie Mellon.",MLE
"Experienced software engineer with expertise in C++, Git, Linux, Python, Java. Previously worked at Microsoft on cloud-native applications. Holds a degree in B.Sc in Computer Science from Georgia Tech.",SWE
"Experienced software engineer with expertise in Agile, REST APIs, SQL, Java, AWS. Previously worked at Facebook on mobile applications. Holds a degree in M.Tech in Artificial Intelligence from Georgia Tech.",SWE
"Experienced software engineer with expertise in Java, CI/CD, AWS, Agile, Docker. Previously worked at Facebook on cloud-native applications. Holds a degree in Ph.D. in Machine Learning from MIT.",SWE
"Data scientist proficient in Pandas, Data Visualization, SQL, R, Machine Learning. Conducted analysis on financial reports to uncover trends and support business decisions. Holds a B.Tech in Information Technology from UC Berkeley.",Data Science
"Data scientist proficient in Pandas, Big Data, Matplotlib, Python, Jupyter. Conducted analysis on healthcare records to uncover trends and support business decisions. Holds a B.Tech in Information Technology from Carnegie Mellon.",Data Science
"Machine learning engineer skilled in Scikit-learn, Spark, Deep Learning, Computer Vision, Data Pipelines. Developed models for natural language processing. Experienced in deploying ML models using MLflow, Docker. Graduated with a degree in M.Tech in Artificial Intelligence from University of Toronto.",MLE
"Machine learning engineer skilled in Scikit-learn, Docker, Computer Vision, Data Pipelines, Spark. Developed models for predictive analytics. Experienced in deploying ML models using TensorFlow Serving, Kubernetes. Graduated with a degree in B.Sc in Computer Science from MIT.",MLE
"Experienced software engineer with expertise in C++, Docker, Linux, Git, Kubernetes. Previously worked at Netflix on cloud-native applications. Holds a degree in B.Tech in Information Technology from UC Berkeley.",SWE
"Data scientist proficient in Python, R, Machine Learning, Data Visualization, Tableau. Conducted analysis on customer behavior data to uncover trends and support business decisions. Holds a B.Tech in Information Technology from University of Toronto.",Data Science
"Data scientist proficient in Python, Statistics, R, Tableau, Data Visualization. Conducted analysis on healthcare records to uncover trends and support business decisions. Holds a B.Tech in Information Technology from University of Toronto.",Data Science
"Data scientist proficient in Big Data, Tableau, SQL, Matplotlib, R. Conducted analysis on healthcare records to uncover trends and support business decisions. Holds a B.Tech in Information Technology from MIT.",Data Science
"Experienced software engineer with expertise in SQL, Docker, REST APIs, Java, Linux. Previously worked at Microsoft on e-commerce platforms. Holds a degree in B.Sc in Computer Science from Stanford University.",SWE
"Machine learning engineer skilled in ML Ops, AWS SageMaker, PyTorch, Deep Learning, Spark. Developed models for natural language processing. Experienced in deploying ML models using TensorFlow Serving, Kubernetes. Graduated with a degree in B.Tech in Information Technology from Carnegie Mellon.",MLE
"Machine learning engineer skilled in Deep Learning, Scikit-learn, Docker, Python, Spark. Developed models for recommendation systems. Experienced in deploying ML models using Docker, MLflow. Graduated with a degree in M.Sc in Data Science from Georgia Tech.",MLE
"Experienced software engineer with expertise in Git, CI/CD, SQL, Kubernetes, Python. Previously worked at Netflix on e-commerce platforms. Holds a degree in B.Tech in Information Technology from UC Berkeley.",SWE
"Machine learning engineer skilled in NLP, Scikit-learn, TensorFlow, AWS SageMaker, Docker. Developed models for image recognition. Experienced in deploying ML models using MLflow, Docker. Graduated with a degree in B.Tech in Information Technology from Stanford University.",MLE
"Data scientist proficient in R, Jupyter, Tableau, Python, Data Visualization. Conducted analysis on IoT sensor logs to uncover trends and support business decisions. Holds a B.Tech in Information Technology from MIT.",Data Science
"Experienced software engineer with expertise in C++, Agile, Kubernetes, Java, REST APIs. Previously worked at Netflix on real-time analytics. Holds a degree in B.Tech in Information Technology from MIT.",SWE
"Data scientist proficient in Matplotlib, Big Data, Statistics, Python, Jupyter. Conducted analysis on financial reports to uncover trends and support business decisions. Holds a M.Tech in Artificial Intelligence from Stanford University.",Data Science
"Machine learning engineer skilled in Data Pipelines, Python, ML Ops, Computer Vision, Scikit-learn. Developed models for recommendation systems. Experienced in deploying ML models using AWS SageMaker, Kubernetes. Graduated with a degree in B.Tech in Information Technology from Georgia Tech.",MLE
"Experienced software engineer with expertise in Git, AWS, Python, C++, Kubernetes. Previously worked at Airbnb on microservice architecture. Holds a degree in M.Tech in Artificial Intelligence from Georgia Tech.",SWE
"Data scientist proficient in Jupyter, Big Data, ETL, Matplotlib, R. Conducted analysis on financial reports to uncover trends and support business decisions. Holds a M.Sc in Data Science from Stanford University.",Data Science
"Data scientist proficient in SQL, Python, R, Matplotlib, Statistics. Conducted analysis on sales transactions to uncover trends and support business decisions. Holds a M.Sc in Data Science from Stanford University.",Data Science
"Data scientist proficient in SQL, Data Visualization, Tableau, Machine Learning, Python. Conducted analysis on IoT sensor logs to uncover trends and support business decisions. Holds a M.Tech in Artificial Intelligence from Stanford University.",Data Science
"Machine learning engineer skilled in Docker, Python, NLP, Spark, Computer Vision. Developed models for recommendation systems. Experienced in deploying ML models using Docker, TensorFlow Serving. Graduated with a degree in M.Sc in Data Science from MIT.",MLE
"Machine learning engineer skilled in Computer Vision, Docker, Spark, PyTorch, Data Pipelines. Developed models for recommendation systems. Experienced in deploying ML models using Docker, Kubernetes. Graduated with a degree in B.Tech in Information Technology from Carnegie Mellon.",MLE
"Experienced software engineer with expertise in SQL, C++, Git, CI/CD, AWS. Previously worked at Netflix on cloud-native applications. Holds a degree in Ph.D. in Machine Learning from Stanford University.",SWE
"Experienced software engineer with expertise in SQL, CI/CD, Git, Agile, Java. Previously worked at Google on microservice architecture. Holds a degree in M.Tech in Artificial Intelligence from Georgia Tech.",SWE
"Machine learning engineer skilled in AWS SageMaker, ML Ops, Docker, TensorFlow, Computer Vision. Developed models for predictive analytics. Experienced in deploying ML models using TensorFlow Serving, MLflow. Graduated with a degree in Ph.D. in Machine Learning from UC Berkeley.",MLE
"Experienced software engineer with expertise in Git, SQL, Python, REST APIs, Agile. Previously worked at Netflix on microservice architecture. Holds a degree in M.Sc in Data Science from University of Toronto.",SWE
"Experienced software engineer with expertise in Agile, REST APIs, Kubernetes, Linux, CI/CD. Previously worked at Netflix on e-commerce platforms. Holds a degree in M.Sc in Data Science from Carnegie Mellon.",SWE
"Experienced software engineer with expertise in Docker, Kubernetes, REST APIs, Java, Agile. Previously worked at Amazon on real-time analytics. Holds a degree in B.Sc in Computer Science from Georgia Tech.",SWE
"Experienced software engineer with expertise in Agile, Docker, Python, Java, AWS. Previously worked at Netflix on cloud-native applications. Holds a degree in Ph.D. in Machine Learning from Stanford University.",SWE
"Machine learning engineer skilled in Scikit-learn, Data Pipelines, PyTorch, Python, Deep Learning. Developed models for predictive analytics. Experienced in deploying ML models using Docker, TensorFlow Serving. Graduated with a degree in M.Tech in Artificial Intelligence from Stanford University.",MLE
"Experienced software engineer with expertise in SQL, Linux, C++, Docker, Python. Previously worked at Netflix on real-time analytics. Holds a degree in B.Sc in Computer Science from MIT.",SWE
"Data scientist proficient in Data Visualization, Tableau, Jupyter, ETL, Python. Conducted analysis on IoT sensor logs to uncover trends and support business decisions. Holds a B.Tech in Information Technology from Carnegie Mellon.",Data Science
"Machine learning engineer skilled in Computer Vision, Scikit-learn, Docker, NLP, TensorFlow. Developed models for natural language processing. Experienced in deploying ML models using MLflow, Docker. Graduated with a degree in B.Sc in Computer Science from Georgia Tech.",MLE
"Data scientist proficient in Machine Learning, Big Data, SQL, Python, Tableau. Conducted analysis on customer behavior data to uncover trends and support business decisions. Holds a B.Tech in Information Technology from Carnegie Mellon.",Data Science
"Experienced software engineer with expertise in CI/CD, Kubernetes, Git, Agile, Java. Previously worked at Google on microservice architecture. Holds a degree in B.Sc in Computer Science from MIT.",SWE
"Experienced software engineer with expertise in AWS, Docker, Linux, CI/CD, Agile. Previously worked at Amazon on microservice architecture. Holds a degree in M.Tech in Artificial Intelligence from Stanford University.",SWE
"Experienced software engineer with expertise in REST APIs, Kubernetes, Docker, SQL, Agile. Previously worked at Microsoft on e-commerce platforms. Holds a degree in B.Tech in Information Technology from Georgia Tech.",SWE
"Experienced software engineer with expertise in REST APIs, Git, Linux, Docker, AWS. Previously worked at Google on microservice architecture. Holds a degree in B.Tech in Information Technology from MIT.",SWE
"Machine learning engineer skilled in ML Ops, TensorFlow, Computer Vision, NLP, PyTorch. Developed models for fraud detection. Experienced in deploying ML models using Docker, TensorFlow Serving. Graduated with a degree in B.Sc in Computer Science from University of Toronto.",MLE
"Data scientist proficient in Machine Learning, Matplotlib, Jupyter, SQL, Tableau. Conducted analysis on healthcare records to uncover trends and support business decisions. Holds a B.Sc in Computer Science from UC Berkeley.",Data Science
"Experienced software engineer with expertise in Kubernetes, Git, AWS, REST APIs, C++. Previously worked at Netflix on real-time analytics. Holds a degree in Ph.D. in Machine Learning from Stanford University.",SWE
"Data scientist proficient in ETL, Machine Learning, Big Data, Data Visualization, Pandas. Conducted analysis on financial reports to uncover trends and support business decisions. Holds a Ph.D. in Machine Learning from Carnegie Mellon.",Data Science
"Experienced software engineer with expertise in AWS, Kubernetes, Docker, Git, Linux. Previously worked at Airbnb on real-time analytics. Holds a degree in M.Sc in Data Science from Georgia Tech.",SWE
"Machine learning engineer skilled in NLP, Data Pipelines, Spark, PyTorch, Docker. Developed models for recommendation systems. Experienced in deploying ML models using MLflow, AWS SageMaker. Graduated with a degree in M.Sc in Data Science from Stanford University.",MLE
"Data scientist proficient in Statistics, Tableau, Matplotlib, Pandas, Data Visualization. Conducted analysis on IoT sensor logs to uncover trends and support business decisions. Holds a B.Sc in Computer Science from Carnegie Mellon.",Data Science
"Data scientist proficient in SQL, Tableau, Matplotlib, Data Visualization, Pandas. Conducted analysis on customer behavior data to uncover trends and support business decisions. Holds a B.Tech in Information Technology from Carnegie Mellon.",Data Science
"Machine learning engineer skilled in TensorFlow, Docker, Computer Vision, AWS SageMaker, Scikit-learn. Developed models for fraud detection. Experienced in deploying ML models using AWS SageMaker, Kubernetes. Graduated with a degree in Ph.D. in Machine Learning from Stanford University.",MLE
"Experienced software engineer with expertise in Docker, Agile, AWS, CI/CD, Java. Previously worked at Facebook on cloud-native applications. Holds a degree in Ph.D. in Machine Learning from University of Toronto.",SWE
"Experienced software engineer with expertise in Linux, Docker, C++, Git, CI/CD. Previously worked at Google on real-time analytics. Holds a degree in M.Tech in Artificial Intelligence from Stanford University.",SWE
"Data scientist proficient in Statistics, Matplotlib, Jupyter, Tableau, Machine Learning. Conducted analysis on healthcare records to uncover trends and support business decisions. Holds a Ph.D. in Machine Learning from Stanford University.",Data Science
"Data scientist proficient in Data Visualization, Tableau, ETL, Pandas, Matplotlib. Conducted analysis on healthcare records to uncover trends and support business decisions. Holds a B.Sc in Computer Science from Carnegie Mellon.",Data Science
"Machine learning engineer skilled in Deep Learning, Computer Vision, Data Pipelines, Docker, ML Ops. Developed models for recommendation systems. Experienced in deploying ML models using Kubernetes, TensorFlow Serving. Graduated with a degree in M.Tech in Artificial Intelligence from MIT.",MLE
"Machine learning engineer skilled in Deep Learning, PyTorch, Computer Vision, Scikit-learn, Python. Developed models for predictive analytics. Experienced in deploying ML models using AWS SageMaker, Kubernetes. Graduated with a degree in M.Tech in Artificial Intelligence from Carnegie Mellon.",MLE
"Machine learning engineer skilled in AWS SageMaker, Computer Vision, NLP, Python, TensorFlow. Developed models for natural language processing. Experienced in deploying ML models using AWS SageMaker, Kubernetes. Graduated with a degree in Ph.D. in Machine Learning from Carnegie Mellon.",MLE
"Data scientist proficient in Machine Learning, Matplotlib, ETL, Statistics, Pandas. Conducted analysis on IoT sensor logs to uncover trends and support business decisions. Holds a M.Sc in Data Science from University of Toronto.",Data Science
"Experienced software engineer with expertise in Agile, SQL, REST APIs, Docker, C++. Previously worked at Amazon on real-time analytics. Holds a degree in Ph.D. in Machine Learning from MIT.",SWE
"Machine learning engineer skilled in Computer Vision, Python, PyTorch, Docker, Spark. Developed models for image recognition. Experienced in deploying ML models using AWS SageMaker, TensorFlow Serving. Graduated with a degree in M.Tech in Artificial Intelligence from MIT.",MLE
"Experienced software engineer with expertise in Python, Kubernetes, REST APIs, CI/CD, Git. Previously worked at Amazon on microservice architecture. Holds a degree in B.Sc in Computer Science from UC Berkeley.",SWE
"Experienced software engineer with expertise in Agile, SQL, REST APIs, Java, Docker. Previously worked at Netflix on mobile applications. Holds a degree in B.Tech in Information Technology from MIT.",SWE
"Data scientist proficient in Machine Learning, Pandas, SQL, Big Data, R. Conducted analysis on financial reports to uncover trends and support business decisions. Holds a B.Sc in Computer Science from Georgia Tech.",Data Science
"Experienced software engineer with expertise in CI/CD, Agile, SQL, REST APIs, AWS. Previously worked at Microsoft on real-time analytics. Holds a degree in Ph.D. in Machine Learning from MIT.",SWE
"Data scientist proficient in SQL, Statistics, Big Data, R, Pandas. Conducted analysis on customer behavior data to uncover trends and support business decisions. Holds a M.Sc in Data Science from University of Toronto.",Data Science
"Experienced software engineer with expertise in CI/CD, C++, SQL, Kubernetes, Docker. Previously worked at Facebook on e-commerce platforms. Holds a degree in M.Sc in Data Science from Stanford University.",SWE
"Experienced software engineer with expertise in Python, REST APIs, Agile, CI/CD, C++. Previously worked at Google on cloud-native applications. Holds a degree in B.Sc in Computer Science from University of Toronto.",SWE
"Data scientist proficient in Tableau, R, Big Data, Python, ETL. Conducted analysis on healthcare records to uncover trends and support business decisions. Holds a B.Tech in Information Technology from Stanford University.",Data Science
"Data scientist proficient in Machine Learning, Tableau, ETL, Big Data, Jupyter. Conducted analysis on healthcare records to uncover trends and support business decisions. Holds a M.Tech in Artificial Intelligence from Stanford University.",Data Science
"Machine learning engineer skilled in ML Ops, Docker, PyTorch, NLP, Scikit-learn. Developed models for predictive analytics. Experienced in deploying ML models using TensorFlow Serving, AWS SageMaker. Graduated with a degree in M.Sc in Data Science from UC Berkeley.",MLE
"Data scientist proficient in Jupyter, Machine Learning, Statistics, Pandas, SQL. Conducted analysis on healthcare records to uncover trends and support business decisions. Holds a Ph.D. in Machine Learning from Georgia Tech.",Data Science
"Experienced software engineer with expertise in C++, Git, Agile, Docker, Python. Previously worked at Airbnb on real-time analytics. Holds a degree in Ph.D. in Machine Learning from Stanford University.",SWE
"Experienced software engineer with expertise in Docker, CI/CD, Python, AWS, REST APIs. Previously worked at Amazon on e-commerce platforms. Holds a degree in B.Tech in Information Technology from University of Toronto.",SWE
"Experienced software engineer with expertise in SQL, Kubernetes, REST APIs, Agile, Python. Previously worked at Netflix on e-commerce platforms. Holds a degree in B.Sc in Computer Science from Georgia Tech.",SWE
"Machine learning engineer skilled in AWS SageMaker, Scikit-learn, Computer Vision, PyTorch, Deep Learning. Developed models for natural language processing. Experienced in deploying ML models using TensorFlow Serving, Docker. Graduated with a degree in B.Sc in Computer Science from Georgia Tech.",MLE
"Experienced software engineer with expertise in Docker, Python, Java, Git, Agile. Previously worked at Facebook on mobile applications. Holds a degree in Ph.D. in Machine Learning from Carnegie Mellon.",SWE
"Data scientist proficient in Python, Big Data, Pandas, Statistics, Data Visualization. Conducted analysis on financial reports to uncover trends and support business decisions. Holds a M.Sc in Data Science from Stanford University.",Data Science
"Experienced software engineer with expertise in Java, SQL, Git, Linux, Agile. Previously worked at Airbnb on microservice architecture. Holds a degree in B.Sc in Computer Science from UC Berkeley.",SWE
"Experienced software engineer with expertise in SQL, Kubernetes, Git, Java, Agile. Previously worked at Airbnb on e-commerce platforms. Holds a degree in Ph.D. in Machine Learning from Georgia Tech.",SWE
"Data scientist proficient in Jupyter, ETL, Python, Statistics, Matplotlib. Conducted analysis on customer behavior data to uncover trends and support business decisions. Holds a M.Tech in Artificial Intelligence from Carnegie Mellon.",Data Science
"Data scientist proficient in Tableau, SQL, Machine Learning, Big Data, Matplotlib. Conducted analysis on financial reports to uncover trends and support business decisions. Holds a B.Tech in Information Technology from University of Toronto.",Data Science
"Experienced software engineer with expertise in REST APIs, Python, C++, CI/CD, Java. Previously worked at Facebook on real-time analytics. Holds a degree in Ph.D. in Machine Learning from MIT.",SWE
"Experienced software engineer with expertise in C++, Linux, AWS, SQL, Kubernetes. Previously worked at Airbnb on cloud-native applications. Holds a degree in B.Tech in Information Technology from UC Berkeley.",SWE
"Machine learning engineer skilled in TensorFlow, Scikit-learn, ML Ops, AWS SageMaker, Deep Learning. Developed models for predictive analytics. Experienced in deploying ML models using MLflow, Docker. Graduated with a degree in M.Sc in Data Science from Georgia Tech.",MLE
"Machine learning engineer skilled in TensorFlow, Python, Computer Vision, Docker, Scikit-learn. Developed models for recommendation systems. Experienced in deploying ML models using Docker, Kubernetes. Graduated with a degree in B.Sc in Computer Science from MIT.",MLE
"Data scientist proficient in Big Data, ETL, Matplotlib, Python, Statistics. Conducted analysis on IoT sensor logs to uncover trends and support business decisions. Holds a Ph.D. in Machine Learning from Georgia Tech.",Data Science
"Machine learning engineer skilled in Data Pipelines, Docker, AWS SageMaker, TensorFlow, Scikit-learn. Developed models for recommendation systems. Experienced in deploying ML models using TensorFlow Serving, MLflow. Graduated with a degree in M.Tech in Artificial Intelligence from University of Toronto.",MLE
"Machine learning engineer skilled in PyTorch, TensorFlow, Computer Vision, AWS SageMaker, Deep Learning. Developed models for recommendation systems. Experienced in deploying ML models using MLflow, TensorFlow Serving. Graduated with a degree in M.Tech in Artificial Intelligence from Stanford University.",MLE
"Machine learning engineer skilled in Docker, Computer Vision, TensorFlow, Spark, Scikit-learn. Developed models for predictive analytics. Experienced in deploying ML models using Kubernetes, TensorFlow Serving. Graduated with a degree in Ph.D. in Machine Learning from University of Toronto.",MLE
"Machine learning engineer skilled in NLP, Spark, Python, PyTorch, Docker. Developed models for recommendation systems. Experienced in deploying ML models using TensorFlow Serving, Kubernetes. Graduated with a degree in M.Tech in Artificial Intelligence from UC Berkeley.",MLE
"Data scientist proficient in Jupyter, Pandas, Big Data, R, Tableau. Conducted analysis on sales transactions to uncover trends and support business decisions. Holds a M.Sc in Data Science from UC Berkeley.",Data Science
"Machine learning engineer skilled in PyTorch, Deep Learning, AWS SageMaker, Scikit-learn, TensorFlow. Developed models for recommendation systems. Experienced in deploying ML models using AWS SageMaker, Docker. Graduated with a degree in Ph.D. in Machine Learning from Carnegie Mellon.",MLE
"Experienced software engineer with expertise in Linux, Docker, CI/CD, Agile, SQL. Previously worked at Netflix on e-commerce platforms. Holds a degree in Ph.D. in Machine Learning from Stanford University.",SWE
"Machine learning engineer skilled in PyTorch, Data Pipelines, Docker, ML Ops, NLP. Developed models for fraud detection. Experienced in deploying ML models using Kubernetes, AWS SageMaker. Graduated with a degree in M.Sc in Data Science from University of Toronto.",MLE
"Experienced software engineer with expertise in C++, CI/CD, Docker, Python, Agile. Previously worked at Microsoft on cloud-native applications. Holds a degree in M.Tech in Artificial Intelligence from UC Berkeley.",SWE
"Experienced software engineer with expertise in Docker, AWS, Python, C++, Agile. Previously worked at Microsoft on e-commerce platforms. Holds a degree in Ph.D. in Machine Learning from Stanford University.",SWE
"Data scientist proficient in Machine Learning, Big Data, SQL, R, Statistics. Conducted analysis on healthcare records to uncover trends and support business decisions. Holds a B.Sc in Computer Science from Georgia Tech.",Data Science
"Machine learning engineer skilled in PyTorch, Spark, AWS SageMaker, NLP, ML Ops. Developed models for fraud detection. Experienced in deploying ML models using MLflow, AWS SageMaker. Graduated with a degree in M.Sc in Data Science from MIT.",MLE
"Data scientist proficient in Jupyter, Python, Matplotlib, SQL, R. Conducted analysis on customer behavior data to uncover trends and support business decisions. Holds a M.Sc in Data Science from University of Toronto.",Data Science
"Experienced software engineer with expertise in CI/CD, Python, Kubernetes, SQL, Agile. Previously worked at Facebook on cloud-native applications. Holds a degree in M.Tech in Artificial Intelligence from University of Toronto.",SWE
"Machine learning engineer skilled in Scikit-learn, Deep Learning, Spark, ML Ops, Data Pipelines. Developed models for image recognition. Experienced in deploying ML models using Kubernetes, TensorFlow Serving. Graduated with a degree in B.Sc in Computer Science from University of Toronto.",MLE
"Data scientist proficient in Jupyter, SQL, Python, Tableau, Machine Learning. Conducted analysis on IoT sensor logs to uncover trends and support business decisions. Holds a M.Sc in Data Science from UC Berkeley.",Data Science
"Data scientist proficient in R, Python, Pandas, Statistics, Jupyter. Conducted analysis on sales transactions to uncover trends and support business decisions. Holds a B.Tech in Information Technology from Georgia Tech.",Data Science
"Experienced software engineer with expertise in Linux, SQL, Kubernetes, Java, CI/CD. Previously worked at Google on real-time analytics. Holds a degree in B.Sc in Computer Science from MIT.",SWE
"Machine learning engineer skilled in PyTorch, Deep Learning, Data Pipelines, Docker, Computer Vision. Developed models for predictive analytics. Experienced in deploying ML models using AWS SageMaker, Kubernetes. Graduated with a degree in B.Sc in Computer Science from MIT.",MLE
"Machine learning engineer skilled in Python, AWS SageMaker, ML Ops, Deep Learning, Spark. Developed models for image recognition. Experienced in deploying ML models using Docker, Kubernetes. Graduated with a degree in B.Tech in Information Technology from Georgia Tech.",MLE
"Data scientist proficient in Data Visualization, Pandas, Machine Learning, Matplotlib, SQL. Conducted analysis on financial reports to uncover trends and support business decisions. Holds a M.Tech in Artificial Intelligence from Georgia Tech.",Data Science
"Data scientist proficient in Jupyter, Matplotlib, Pandas, SQL, Big Data. Conducted analysis on healthcare records to uncover trends and support business decisions. Holds a B.Tech in Information Technology from Georgia Tech.",Data Science
"Data scientist proficient in Big Data, Jupyter, Machine Learning, Data Visualization, Tableau. Conducted analysis on IoT sensor logs to uncover trends and support business decisions. Holds a Ph.D. in Machine Learning from UC Berkeley.",Data Science
"Experienced software engineer with expertise in Linux, Kubernetes, AWS, Git, Java. Previously worked at Microsoft on cloud-native applications. Holds a degree in Ph.D. in Machine Learning from University of Toronto.",SWE
"Data scientist proficient in Big Data, Tableau, SQL, ETL, R. Conducted analysis on sales transactions to uncover trends and support business decisions. Holds a Ph.D. in Machine Learning from MIT.",Data Science
"Experienced software engineer with expertise in Kubernetes, C++, Agile, Docker, Java. Previously worked at Airbnb on e-commerce platforms. Holds a degree in M.Tech in Artificial Intelligence from Carnegie Mellon.",SWE
"Machine learning engineer skilled in Python, Docker, Scikit-learn, AWS SageMaker, ML Ops. Developed models for fraud detection. Experienced in deploying ML models using MLflow, AWS SageMaker. Graduated with a degree in M.Sc in Data Science from Stanford University.",MLE
"Experienced software engineer with expertise in Python, REST APIs, Java, C++, Agile. Previously worked at Netflix on real-time analytics. Holds a degree in M.Tech in Artificial Intelligence from MIT.",SWE
"Data scientist proficient in Jupyter, Matplotlib, Data Visualization, R, Tableau. Conducted analysis on sales transactions to uncover trends and support business decisions. Holds a B.Tech in Information Technology from UC Berkeley.",Data Science
